# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
11

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Left Boom,0,KNGGVAOOGF,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.500000000000000000e+01, 2.850000000000000000e+02, 2.500000000000000000e+01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,17
# x,y,z,u,w
5.550000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 2.399999999999999911e+00, 2.500000000000000000e-01
5.550000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 2.399999999999999911e+00, 5.000000000000000000e-01
5.550000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 2.399999999999999911e+00, 7.500000000000000000e-01
5.550000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 2.399999999999999911e+00, 1.000000000000000000e+00
5.550000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 2.399999999999999911e+00, 1.250000000000000000e+00
5.550000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 2.399999999999999911e+00, 1.500000000000000000e+00
5.550000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 2.399999999999999911e+00, 1.750000000000000000e+00
5.550000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 2.399999999999999911e+00, 2.000000000000000000e+00
5.550000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 2.399999999999999911e+00, 2.250000000000000000e+00
5.550000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 2.399999999999999911e+00, 2.500000000000000000e+00
5.550000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 2.399999999999999911e+00, 2.750000000000000000e+00
5.550000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 2.399999999999999911e+00, 3.000000000000000000e+00
5.550000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 2.399999999999999911e+00, 3.250000000000000000e+00
5.550000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 2.399999999999999911e+00, 3.500000000000000000e+00
5.550000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 2.399999999999999911e+00, 3.750000000000000000e+00
5.550000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 2.399999999999999911e+00, 4.000000000000000000e+00
6.000000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 2.600000000000000089e+00, 0.000000000000000000e+00
6.000000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 2.600000000000000089e+00, 2.500000000000000000e-01
6.000000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 2.600000000000000089e+00, 5.000000000000000000e-01
6.000000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 2.600000000000000089e+00, 7.500000000000000000e-01
6.000000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 2.600000000000000089e+00, 1.000000000000000000e+00
6.000000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 2.600000000000000089e+00, 1.250000000000000000e+00
6.000000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 2.600000000000000089e+00, 1.500000000000000000e+00
6.000000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 2.600000000000000089e+00, 1.750000000000000000e+00
6.000000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 2.600000000000000089e+00, 2.000000000000000000e+00
6.000000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 2.600000000000000089e+00, 2.250000000000000000e+00
6.000000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 2.600000000000000089e+00, 2.500000000000000000e+00
6.000000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 2.600000000000000089e+00, 2.750000000000000000e+00
6.000000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 2.600000000000000089e+00, 3.000000000000000000e+00
6.000000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 2.600000000000000089e+00, 3.250000000000000000e+00
6.000000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 2.600000000000000089e+00, 3.500000000000000000e+00
6.000000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 2.600000000000000089e+00, 3.750000000000000000e+00
6.000000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 2.600000000000000089e+00, 4.000000000000000000e+00
6.450000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 2.799999999999999822e+00, 0.000000000000000000e+00
6.450000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 2.799999999999999822e+00, 2.500000000000000000e-01
6.450000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 2.799999999999999822e+00, 5.000000000000000000e-01
6.450000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 2.799999999999999822e+00, 7.500000000000000000e-01
6.450000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 2.799999999999999822e+00, 1.000000000000000000e+00
6.450000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 2.799999999999999822e+00, 1.250000000000000000e+00
6.450000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 2.799999999999999822e+00, 1.500000000000000000e+00
6.450000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 2.799999999999999822e+00, 1.750000000000000000e+00
6.450000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 2.799999999999999822e+00, 2.000000000000000000e+00
6.450000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 2.799999999999999822e+00, 2.250000000000000000e+00
6.450000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 2.799999999999999822e+00, 2.500000000000000000e+00
6.450000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 2.799999999999999822e+00, 2.750000000000000000e+00
6.450000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 2.799999999999999822e+00, 3.000000000000000000e+00
6.450000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 2.799999999999999822e+00, 3.250000000000000000e+00
6.450000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 2.799999999999999822e+00, 3.500000000000000000e+00
6.450000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 2.799999999999999822e+00, 3.750000000000000000e+00
6.450000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 2.799999999999999822e+00, 4.000000000000000000e+00
6.900000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
6.900000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 3.000000000000000000e+00, 2.500000000000000000e-01
6.900000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 3.000000000000000000e+00, 5.000000000000000000e-01
6.900000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 3.000000000000000000e+00, 7.500000000000000000e-01
6.900000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 3.000000000000000000e+00, 1.000000000000000000e+00
6.900000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 3.000000000000000000e+00, 1.250000000000000000e+00
6.900000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 3.000000000000000000e+00, 1.500000000000000000e+00
6.900000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 3.000000000000000000e+00, 1.750000000000000000e+00
6.900000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 3.000000000000000000e+00, 2.000000000000000000e+00
6.900000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 3.000000000000000000e+00, 2.250000000000000000e+00
6.900000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 3.000000000000000000e+00, 2.500000000000000000e+00
6.900000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 3.000000000000000000e+00, 2.750000000000000000e+00
6.900000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 3.000000000000000000e+00, 3.000000000000000000e+00
6.900000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 3.000000000000000000e+00, 3.250000000000000000e+00
6.900000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 3.000000000000000000e+00, 3.500000000000000000e+00
6.900000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 3.000000000000000000e+00, 3.750000000000000000e+00
6.900000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.000000000000000000e+00, 4.000000000000000000e+00
7.350000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.200000000000000178e+00, 0.000000000000000000e+00
7.350000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 3.200000000000000178e+00, 2.500000000000000000e-01
7.350000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 3.200000000000000178e+00, 5.000000000000000000e-01
7.350000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 3.200000000000000178e+00, 7.500000000000000000e-01
7.350000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 3.200000000000000178e+00, 1.000000000000000000e+00
7.350000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 3.200000000000000178e+00, 1.250000000000000000e+00
7.350000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 3.200000000000000178e+00, 1.500000000000000000e+00
7.350000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 3.200000000000000178e+00, 1.750000000000000000e+00
7.350000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 3.200000000000000178e+00, 2.000000000000000000e+00
7.350000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 3.200000000000000178e+00, 2.250000000000000000e+00
7.350000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 3.200000000000000178e+00, 2.500000000000000000e+00
7.350000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 3.200000000000000178e+00, 2.750000000000000000e+00
7.350000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 3.200000000000000178e+00, 3.000000000000000000e+00
7.350000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 3.200000000000000178e+00, 3.250000000000000000e+00
7.350000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 3.200000000000000178e+00, 3.500000000000000000e+00
7.350000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 3.200000000000000178e+00, 3.750000000000000000e+00
7.350000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.200000000000000178e+00, 4.000000000000000000e+00
7.800000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.399999999999999911e+00, 0.000000000000000000e+00
7.800000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 3.399999999999999911e+00, 2.500000000000000000e-01
7.800000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 3.399999999999999911e+00, 5.000000000000000000e-01
7.800000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 3.399999999999999911e+00, 7.500000000000000000e-01
7.800000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 3.399999999999999911e+00, 1.000000000000000000e+00
7.800000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 3.399999999999999911e+00, 1.250000000000000000e+00
7.800000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 3.399999999999999911e+00, 1.500000000000000000e+00
7.800000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 3.399999999999999911e+00, 1.750000000000000000e+00
7.800000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 3.399999999999999911e+00, 2.000000000000000000e+00
7.800000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 3.399999999999999911e+00, 2.250000000000000000e+00
7.800000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 3.399999999999999911e+00, 2.500000000000000000e+00
7.800000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 3.399999999999999911e+00, 2.750000000000000000e+00
7.800000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 3.399999999999999911e+00, 3.000000000000000000e+00
7.800000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 3.399999999999999911e+00, 3.250000000000000000e+00
7.800000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 3.399999999999999911e+00, 3.500000000000000000e+00
7.800000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 3.399999999999999911e+00, 3.750000000000000000e+00
7.800000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.399999999999999911e+00, 4.000000000000000000e+00
8.250000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.600000000000000089e+00, 0.000000000000000000e+00
8.250000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 3.600000000000000089e+00, 2.500000000000000000e-01
8.250000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 3.600000000000000089e+00, 5.000000000000000000e-01
8.250000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 3.600000000000000089e+00, 7.500000000000000000e-01
8.250000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 3.600000000000000089e+00, 1.000000000000000000e+00
8.250000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 3.600000000000000089e+00, 1.250000000000000000e+00
8.250000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 3.600000000000000089e+00, 1.500000000000000000e+00
8.250000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 3.600000000000000089e+00, 1.750000000000000000e+00
8.250000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 3.600000000000000089e+00, 2.000000000000000000e+00
8.250000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 3.600000000000000089e+00, 2.250000000000000000e+00
8.250000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 3.600000000000000089e+00, 2.500000000000000000e+00
8.250000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 3.600000000000000089e+00, 2.750000000000000000e+00
8.250000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 3.600000000000000089e+00, 3.000000000000000000e+00
8.250000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 3.600000000000000089e+00, 3.250000000000000000e+00
8.250000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 3.600000000000000089e+00, 3.500000000000000000e+00
8.250000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 3.600000000000000089e+00, 3.750000000000000000e+00
8.250000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.600000000000000089e+00, 4.000000000000000000e+00
8.700000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.799999999999999822e+00, 0.000000000000000000e+00
8.700000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 3.799999999999999822e+00, 2.500000000000000000e-01
8.700000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 3.799999999999999822e+00, 5.000000000000000000e-01
8.700000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 3.799999999999999822e+00, 7.500000000000000000e-01
8.700000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 3.799999999999999822e+00, 1.000000000000000000e+00
8.700000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 3.799999999999999822e+00, 1.250000000000000000e+00
8.700000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 3.799999999999999822e+00, 1.500000000000000000e+00
8.700000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 3.799999999999999822e+00, 1.750000000000000000e+00
8.700000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 3.799999999999999822e+00, 2.000000000000000000e+00
8.700000000000000000e+02, 2.757863694968060031e+02, 2.889089150958199781e+01, 3.799999999999999822e+00, 2.250000000000000000e+00
8.700000000000000000e+02, 2.779303186581493605e+02, 3.206968134185066788e+01, 3.799999999999999822e+00, 2.500000000000000000e+00
8.700000000000000000e+02, 2.811091084904180093e+02, 3.421363050319399690e+01, 3.799999999999999822e+00, 2.750000000000000000e+00
8.700000000000000000e+02, 2.850000000000000000e+02, 3.500000000000000000e+01, 3.799999999999999822e+00, 3.000000000000000000e+00
8.700000000000000000e+02, 2.888908915095819907e+02, 3.421363050319399690e+01, 3.799999999999999822e+00, 3.250000000000000000e+00
8.700000000000000000e+02, 2.920696813418506395e+02, 3.206968134185066788e+01, 3.799999999999999822e+00, 3.500000000000000000e+00
8.700000000000000000e+02, 2.942136305031939969e+02, 2.889089150958199781e+01, 3.799999999999999822e+00, 3.750000000000000000e+00
8.700000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 3.799999999999999822e+00, 4.000000000000000000e+00
9.150000000000000000e+02, 2.950000000000000000e+02, 2.500000000000000000e+01, 4.000000000000000000e+00, 0.000000000000000000e+00
9.150000000000000000e+02, 2.942136305031939969e+02, 2.110910849041800219e+01, 4.000000000000000000e+00, 2.500000000000000000e-01
9.150000000000000000e+02, 2.920696813418506395e+02, 1.793031865814933568e+01, 4.000000000000000000e+00, 5.000000000000000000e-01
9.150000000000000000e+02, 2.888908915095819907e+02, 1.578636949680600310e+01, 4.000000000000000000e+00, 7.500000000000000000e-01
9.150000000000000000e+02, 2.850000000000000000e+02, 1.500000000000000000e+01, 4.000000000000000000e+00, 1.000000000000000000e+00
9.150000000000000000e+02, 2.811091084904180093e+02, 1.578636949680600310e+01, 4.000000000000000000e+00, 1.250000000000000000e+00
9.150000000000000000e+02, 2.779303186581493605e+02, 1.793031865814933568e+01, 4.000000000000000000e+00, 1.500000000000000000e+00
9.150000000000000000e+02, 2.757863694968060031e+02, 2.110910849041800219e+01, 4.000000000000000000e+00, 1.750000000000000000e+00
9.150000000000000000e+02, 2.750000000000000000e+02, 2.500000000000000000e+01, 4.000000000000000000e+00, 2.000000000000000000e+00
